label,iter,val_loss,val_acc,has_2000,reference
Muon LR+momentum layerwise,100,5.74,0.200724,True,True
Muon LR+momentum layerwise,200,5.185,0.238269,True,True
Muon LR+momentum layerwise,300,4.729,0.274719,True,True
Muon LR+momentum layerwise,400,4.382,0.306735,True,True
Muon LR+momentum layerwise,500,4.142,0.330378,True,True
Muon LR+momentum layerwise,600,4.002,0.343264,True,True
Muon LR+momentum layerwise,700,3.899,0.351939,True,True
Muon LR+momentum layerwise,800,3.821,0.358953,True,True
Muon LR+momentum layerwise,900,3.759,0.364782,True,True
Muon LR+momentum layerwise,1000,3.696,0.370608,True,True
Muon LR+momentum layerwise,1100,3.647,0.375341,True,True
Muon LR+momentum layerwise,1200,3.607,0.37871,True,True
Muon LR+momentum layerwise,1300,3.569,0.383395,True,True
Muon LR+momentum layerwise,1400,3.54,0.385648,True,True
Muon LR+momentum layerwise,1500,3.517,0.388018,True,True
Muon LR+momentum layerwise,1600,3.497,0.390223,True,True
Muon LR+momentum layerwise,1700,3.484,0.391299,True,True
Muon LR+momentum layerwise,1800,3.474,0.392423,True,True
Muon LR+momentum layerwise,1900,3.468,0.393188,True,True
Muon LR+momentum layerwise,2000,3.477,0.392582,True,True
Adam/Muon gate,100,5.754,0.199359,True,False
Adam/Muon gate,200,5.232,0.234863,True,False
Adam/Muon gate,300,4.771,0.270559,True,False
Adam/Muon gate,400,4.446,0.300992,True,False
Adam/Muon gate,500,4.206,0.32342,True,False
Adam/Muon gate,600,4.06,0.337173,True,False
Adam/Muon gate,700,3.957,0.346306,True,False
Adam/Muon gate,800,3.877,0.353414,True,False
Adam/Muon gate,900,3.805,0.359263,True,False
Adam/Muon gate,1000,3.735,0.364983,True,False
Adam/Muon gate,1100,3.679,0.371216,True,False
Adam/Muon gate,1200,3.631,0.375191,True,False
Adam/Muon gate,1300,3.581,0.380981,True,False
Adam/Muon gate,1400,3.536,0.385086,True,False
Adam/Muon gate,1500,3.498,0.38886,True,False
Adam/Muon gate,1600,3.462,0.39269,True,False
Adam/Muon gate,1700,3.436,0.395569,True,False
Adam/Muon gate,1800,3.417,0.398137,True,False
Adam/Muon gate,1900,3.404,0.399091,True,False
Adam/Muon gate,2000,3.409,0.398946,True,False
Muon/Newton-Muon gate,100,5.772,0.197805,True,False
Muon/Newton-Muon gate,200,5.3,0.220278,True,False
Muon/Newton-Muon gate,300,4.959,0.249791,True,False
Muon/Newton-Muon gate,400,4.65,0.275742,True,False
Muon/Newton-Muon gate,500,4.383,0.298729,True,False
Muon/Newton-Muon gate,600,4.152,0.32592,True,False
Muon/Newton-Muon gate,700,4.007,0.339622,True,False
Muon/Newton-Muon gate,800,3.914,0.348328,True,False
Muon/Newton-Muon gate,900,3.837,0.355255,True,False
Muon/Newton-Muon gate,1000,3.77,0.362233,True,False
Muon/Newton-Muon gate,1100,3.716,0.367264,True,False
Muon/Newton-Muon gate,1200,3.671,0.371045,True,False
Muon/Newton-Muon gate,1300,3.624,0.376704,True,False
Muon/Newton-Muon gate,1400,3.591,0.379931,True,False
Muon/Newton-Muon gate,1500,3.562,0.382421,True,False
Muon/Newton-Muon gate,1600,3.537,0.38545,True,False
Muon/Newton-Muon gate,1700,3.52,0.386948,True,False
Muon/Newton-Muon gate,1800,3.508,0.38828,True,False
Muon/Newton-Muon gate,1900,3.501,0.388941,True,False
Muon/Newton-Muon gate,2000,3.508,0.388501,True,False
AdaGrad-EMA/Muon,100,5.753,0.199242,True,False
AdaGrad-EMA/Muon,200,5.192,0.237231,True,False
AdaGrad-EMA/Muon,300,4.751,0.273013,True,False
AdaGrad-EMA/Muon,400,4.401,0.306892,True,False
AdaGrad-EMA/Muon,500,4.195,0.325816,True,False
AdaGrad-EMA/Muon,600,4.053,0.338318,True,False
AdaGrad-EMA/Muon,700,3.955,0.346202,True,False
AdaGrad-EMA/Muon,800,3.873,0.353223,True,False
AdaGrad-EMA/Muon,900,3.809,0.359952,True,False
AdaGrad-EMA/Muon,1000,3.736,0.365545,True,False
AdaGrad-EMA/Muon,1100,3.679,0.371007,True,False
AdaGrad-EMA/Muon,1200,3.628,0.375961,True,False
AdaGrad-EMA/Muon,1300,3.576,0.381856,True,False
AdaGrad-EMA/Muon,1400,3.532,0.386007,True,False
AdaGrad-EMA/Muon,1500,3.494,0.38974,True,False
AdaGrad-EMA/Muon,1600,3.457,0.39326,True,False
AdaGrad-EMA/Muon,1700,3.431,0.396957,True,False
AdaGrad-EMA/Muon,1800,3.41,0.398865,True,False
AdaGrad-EMA/Muon,1900,3.398,0.4005,True,False
AdaGrad-EMA/Muon,2000,3.402,0.400545,True,False
SOAP-lite/Muon,100,5.747,0.199908,True,False
SOAP-lite/Muon,200,5.18,0.238576,True,False
SOAP-lite/Muon,300,4.746,0.27256,True,False
SOAP-lite/Muon,400,4.396,0.307335,True,False
SOAP-lite/Muon,500,4.188,0.326149,True,False
SOAP-lite/Muon,600,4.059,0.337016,True,False
SOAP-lite/Muon,700,3.962,0.345851,True,False
SOAP-lite/Muon,800,3.885,0.352028,True,False
SOAP-lite/Muon,900,3.817,0.358345,True,False
SOAP-lite/Muon,1000,3.748,0.36409,True,False
SOAP-lite/Muon,1100,3.692,0.369809,True,False
SOAP-lite/Muon,1200,3.642,0.374425,True,False
SOAP-lite/Muon,1300,3.587,0.379906,True,False
SOAP-lite/Muon,1400,3.543,0.385183,True,False
SOAP-lite/Muon,1500,3.504,0.388728,True,False
SOAP-lite/Muon,1600,3.466,0.392011,True,False
SOAP-lite/Muon,1700,3.439,0.395411,True,False
SOAP-lite/Muon,1800,3.418,0.398239,True,False
SOAP-lite/Muon,1900,3.406,0.399501,True,False
SOAP-lite/Muon,2000,3.411,0.399296,True,False
