param_index,name,shape,layer,component,use_muon,lr_scale,momentum,gduo_alignment_cos,gduo_hypgrad_lr,gduo_hypgrad_mu,layer_plot
1,transformer.wpe.weight,1024x512,-1,pos_emb,True,0.5215111007661692,0.7586885641583279,0.0012793350033462,-7.041044101693284e-10,-6.433654714281499e-11,-0.55
3,transformer.h.0.attn.c_attn.weight,1536x512,0,attn_qkv,True,0.2500933698910721,0.9510697747303722,-0.0035648099146783,-6.73429901760589e-10,3.2738170470218866e-12,0.0
4,transformer.h.0.attn.c_proj.weight,512x512,0,attn_proj,True,0.2500426551395191,0.9610453062441074,-0.0130489831790328,-4.0576052079085507e-10,3.342080647747157e-11,0.0
6,transformer.h.0.mlp.c_fc.weight,2048x512,0,mlp_fc,True,0.3419034855955191,0.9686634284662664,-0.0052674170583486,-1.479473604103605e-10,8.399601509747069e-12,0.0
7,transformer.h.0.mlp.c_proj.weight,512x2048,0,mlp_proj,True,0.2753809098013668,0.9635547668425796,-0.0021558636799454,-2.5381811809534804e-10,1.0789945254461696e-11,0.0
9,transformer.h.1.attn.c_attn.weight,1536x512,1,attn_qkv,True,0.3104553849431428,0.952045601904534,-0.0094731729477643,-3.1832339232302704e-10,1.1408968429639148e-11,1.0
10,transformer.h.1.attn.c_proj.weight,512x512,1,attn_proj,True,0.3426273346972938,0.9618554622670972,-0.0005665618227794,-4.230957073694088e-10,1.4778908856239754e-11,1.0
12,transformer.h.1.mlp.c_fc.weight,2048x512,1,mlp_fc,True,0.5987651165170111,0.9667202158167276,0.0002800342335831,-5.079858443893719e-10,4.177898716891245e-12,1.0
13,transformer.h.1.mlp.c_proj.weight,512x2048,1,mlp_proj,True,0.6407483053395517,0.9561322745265336,0.0023042557295411,-4.097294263731757e-10,2.68807115423656e-12,1.0
15,transformer.h.2.attn.c_attn.weight,1536x512,2,attn_qkv,True,0.3292082136095892,0.9653288706208004,-0.0040250676684081,-1.0410508858162924e-10,1.9374429222757995e-11,2.0
16,transformer.h.2.attn.c_proj.weight,512x512,2,attn_proj,True,0.5377893934409619,0.9643027233517336,-0.0007357237045653,-2.7818667583158527e-10,8.173881510831496e-12,2.0
18,transformer.h.2.mlp.c_fc.weight,2048x512,2,mlp_fc,True,0.6576770362567133,0.9620402357540784,-0.0005363370291888,-4.5924471152177436e-10,6.376112184795777e-12,2.0
19,transformer.h.2.mlp.c_proj.weight,512x2048,2,mlp_proj,True,0.7000933529938349,0.9545013216669092,0.0040537761524319,-4.687081021431312e-10,8.487068110015233e-13,2.0
21,transformer.h.3.attn.c_attn.weight,1536x512,3,attn_qkv,True,0.4182625164632267,0.9549299828886564,-0.0017569295596331,-5.225236101516188e-10,2.640887266010512e-11,3.0
22,transformer.h.3.attn.c_proj.weight,512x512,3,attn_proj,True,0.5138997712754872,0.9735292651677644,-0.0028115957975387,-3.0007529637551915e-10,9.611227418689104e-12,3.0
24,transformer.h.3.mlp.c_fc.weight,2048x512,3,mlp_fc,True,0.7219720556084835,0.9626025081145864,-0.0003729541203938,-5.478637330141954e-10,4.134933125145961e-12,3.0
25,transformer.h.3.mlp.c_proj.weight,512x2048,3,mlp_proj,True,0.7509277487215331,0.9500688176838455,0.0041898195631802,-4.914611489667745e-10,6.511508743777584e-13,3.0
27,transformer.h.4.attn.c_attn.weight,1536x512,4,attn_qkv,True,0.4653181531204183,0.9640724857534576,6.520262104459107e-05,-3.6696169724878267e-10,2.6151670642841897e-11,4.0
28,transformer.h.4.attn.c_proj.weight,512x512,4,attn_proj,True,0.6282941928406314,0.9744176363234208,0.0010290157515555,-2.1739185154856863e-10,7.128824374403149e-12,4.0
30,transformer.h.4.mlp.c_fc.weight,2048x512,4,mlp_fc,True,0.8000628427052093,0.955363505917718,0.0051396135240793,-6.393853689100898e-10,6.0143875709009024e-12,4.0
31,transformer.h.4.mlp.c_proj.weight,512x2048,4,mlp_proj,True,0.8011446749644603,0.9513563611805824,0.0081940032541751,-5.117560723277048e-10,2.134623627912155e-12,4.0
33,transformer.h.5.attn.c_attn.weight,1536x512,5,attn_qkv,True,0.5634687770411247,0.9666867431874402,0.0017038001678884,-3.4337676489129815e-10,1.8560447030334155e-11,5.0
34,transformer.h.5.attn.c_proj.weight,512x512,5,attn_proj,True,0.7694017724633043,0.9640946634703518,0.0080193635076284,-3.530097635457062e-10,5.681538232825989e-12,5.0
36,transformer.h.5.mlp.c_fc.weight,2048x512,5,mlp_fc,True,0.8426228541983771,0.952829768003864,0.0040878769941627,-5.656477529172393e-10,2.9199690680380114e-12,5.0
37,transformer.h.5.mlp.c_proj.weight,512x2048,5,mlp_proj,True,0.8320531152128845,0.9493798415014236,0.0084084598347544,-5.13034244742761e-10,1.7740232033843456e-12,5.0
39,transformer.h.6.attn.c_attn.weight,1536x512,6,attn_qkv,True,0.6736216146985978,0.955880501652792,0.004244640469551,-6.095188851230037e-10,1.4217868770456312e-11,6.0
40,transformer.h.6.attn.c_proj.weight,512x512,6,attn_proj,True,0.7776156437748518,0.9686983479642126,0.0059863505885005,-2.8614756546418295e-10,3.553567339946124e-12,6.0
