iter,val_loss,val_acc,optimizer
200,6.067,0.181547,AdamW
400,5.629,0.208132,AdamW
600,5.318,0.230263,AdamW
800,5.068,0.251043,AdamW
1000,4.867,0.267428,AdamW
1200,4.723,0.27817,AdamW
1400,4.605,0.288325,AdamW
1600,4.526,0.295186,AdamW
1800,4.485,0.298523,AdamW
2000,4.472,0.299923,AdamW
200,5.877,0.202179,Muon
400,5.267,0.241211,Muon
600,4.942,0.263486,Muon
800,4.685,0.285769,Muon
1000,4.489,0.303823,Muon
1200,4.345,0.316783,Muon
1400,4.23,0.327761,Muon
1600,4.149,0.3365,Muon
1800,4.108,0.340065,Muon
2000,4.096,0.341239,Muon
200,5.884,0.195966,Newton-Muon
400,5.311,0.236031,Newton-Muon
600,4.921,0.264913,Newton-Muon
800,4.658,0.286006,Newton-Muon
1000,4.454,0.304278,Newton-Muon
1200,4.283,0.321208,Newton-Muon
1400,4.168,0.331805,Newton-Muon
1600,4.096,0.340007,Newton-Muon
1800,4.059,0.343905,Newton-Muon
2000,4.05,0.344421,Newton-Muon
