JobID|JobName|State|Elapsed|ExitCode|MaxRSS
2965461_0|gpt_wikitext|COMPLETED|00:18:56|0:0|
2965461_0.batch|batch|COMPLETED|00:18:56|0:0|3089608K
2965461_0.extern|extern|COMPLETED|00:18:56|0:0|128K
2965461_1|gpt_wikitext|FAILED|00:00:05|1:0|
2965461_1.batch|batch|FAILED|00:00:05|1:0|212K
2965461_1.extern|extern|COMPLETED|00:00:05|0:0|128K
2965461_2|gpt_wikitext|FAILED|00:02:50|1:0|
2965461_2.batch|batch|FAILED|00:02:50|1:0|2894536K
2965461_2.extern|extern|COMPLETED|00:02:50|0:0|128K
2965521_1|gpt_wikitext|COMPLETED|00:19:16|0:0|
2965521_1.batch|batch|COMPLETED|00:19:16|0:0|1351632K
2965521_1.extern|extern|COMPLETED|00:19:16|0:0|128K
2965638_2|gpt_wikitext|COMPLETED|00:21:55|0:0|
2965638_2.batch|batch|COMPLETED|00:21:55|0:0|1432820K
2965638_2.extern|extern|COMPLETED|00:21:55|0:0|128K
