job,experiment_name,tag,newton_lr,ridge,precond_clip,step,precond_count,precond_clipped,precond_clipped_frac,precond_max_ratio
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,200,6400,1960,0.30625,121.8
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,400,6400,3200,0.5,157.3
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,600,6400,2890,0.4515625,96.75
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,800,6400,2430,0.3796875,67.41
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,1000,6400,2225,0.34765625,137.4
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,1200,6400,2264,0.35375,41.65
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,1400,6400,2051,0.32046875,30.29
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,1600,6400,2147,0.33546875,28.39
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,1800,6400,2179,0.34046875,28.92
2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,2000,6400,2221,0.34703125,60.77
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,200,6400,1739,0.27171875,77.98
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,400,6400,2861,0.44703125,97.71
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,600,6400,1927,0.30109375,59.15
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,800,6400,1700,0.265625,45.07
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,1000,6400,1700,0.265625,28.33
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,1200,6400,1494,0.2334375,23.79
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,1400,6400,1371,0.21421875,20.26
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,1600,6400,1386,0.2165625,1040.0
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,1800,6400,1510,0.2359375,29.63
2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,2000,6400,1710,0.2671875,128.5
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,200,6400,2006,0.3134375,146.8
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,400,6400,3176,0.49625,179.9
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,600,6400,2492,0.389375,90.49
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,800,6400,2027,0.31671875,62.36
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,1000,6400,1881,0.29390625,233.5
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,1200,6400,1568,0.245,28.31
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,1400,6400,1598,0.2496875,25.78
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,1600,6400,1657,0.25890625,39.22
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,1800,6400,1725,0.26953125,28.12
2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,2000,6400,1799,0.28109375,28.41
