optimizer,job,iter,epoch,train_loss,val_loss,val_pp,val_acc,iter_dt,lr
adamw,2965461_0,0,0.0,,10.919,55212.447,8.6e-05,,
adamw,2965461_0,50,0.005,8.267,,,,0.492,0.000156
adamw,2965461_0,100,0.01,6.733,,,,0.491,0.000509
adamw,2965461_0,150,0.015,6.196,,,,0.492,0.000859
adamw,2965461_0,200,0.021,6.222,6.067,431.43,0.181547,0.491,0.001
adamw,2965461_0,250,0.026,5.949,,,,0.492,0.000998
adamw,2965461_0,300,0.031,5.811,,,,0.492,0.000992
adamw,2965461_0,350,0.036,5.791,,,,0.49,0.000983
adamw,2965461_0,400,0.041,5.549,5.629,278.398,0.208132,0.492,0.00097
adamw,2965461_0,450,0.046,5.464,,,,0.493,0.000953
adamw,2965461_0,500,0.051,5.387,,,,0.486,0.000933
adamw,2965461_0,550,0.057,5.37,,,,0.0495,0.00091
adamw,2965461_0,600,0.062,5.402,5.318,203.979,0.230263,0.492,0.000884
adamw,2965461_0,650,0.067,5.321,,,,0.492,0.000854
adamw,2965461_0,700,0.072,4.99,,,,0.492,0.000823
adamw,2965461_0,750,0.077,5.146,,,,0.492,0.000788
adamw,2965461_0,800,0.082,5.048,5.068,158.784,0.251043,0.493,0.000752
adamw,2965461_0,850,0.088,4.903,,,,0.492,0.000713
adamw,2965461_0,900,0.093,5.085,,,,0.492,0.000673
adamw,2965461_0,950,0.098,5.057,,,,0.493,0.000632
adamw,2965461_0,1000,0.103,4.928,4.867,129.891,0.267428,0.492,0.00059
adamw,2965461_0,1050,0.108,4.986,,,,0.491,0.000547
adamw,2965461_0,1100,0.113,4.54,,,,0.492,0.000504
adamw,2965461_0,1150,0.118,4.817,,,,0.491,0.000461
adamw,2965461_0,1200,0.124,4.728,4.723,112.48,0.27817,0.486,0.000418
adamw,2965461_0,1250,0.129,4.532,,,,0.492,0.000376
adamw,2965461_0,1300,0.134,4.76,,,,0.49,0.000335
adamw,2965461_0,1350,0.139,4.825,,,,0.492,0.000295
adamw,2965461_0,1400,0.144,4.64,4.605,100.003,0.288325,0.491,0.000257
adamw,2965461_0,1450,0.149,4.692,,,,0.492,0.00022
adamw,2965461_0,1500,0.155,4.531,,,,0.492,0.000186
adamw,2965461_0,1550,0.16,4.498,,,,0.491,0.000154
adamw,2965461_0,1600,0.165,4.435,4.526,92.425,0.295186,0.492,0.000125
adamw,2965461_0,1650,0.17,4.606,,,,0.491,9.9e-05
adamw,2965461_0,1700,0.175,4.517,,,,0.492,7.59e-05
adamw,2965461_0,1750,0.18,4.765,,,,0.491,5.6e-05
adamw,2965461_0,1800,0.185,4.696,4.485,88.717,0.298523,0.491,3.96e-05
adamw,2965461_0,1850,0.191,4.451,,,,0.493,2.66e-05
adamw,2965461_0,1900,0.196,4.467,,,,0.492,1.74e-05
adamw,2965461_0,1950,0.201,4.489,,,,0.492,1.18e-05
adamw,2965461_0,2000,0.206,4.651,4.472,87.513,0.299923,0.492,1e-05
muon,2965521_1,0,0.0,,10.919,55212.447,8.6e-05,,
muon,2965521_1,50,0.005,8.49,,,,0.534,0.00313
muon,2965521_1,100,0.01,6.61,,,,0.535,0.0102
muon,2965521_1,150,0.015,6.046,,,,0.534,0.0172
muon,2965521_1,200,0.021,6.025,5.877,356.812,0.202179,0.534,0.02
muon,2965521_1,250,0.026,5.746,,,,0.529,0.02
muon,2965521_1,300,0.031,5.544,,,,0.533,0.0198
muon,2965521_1,350,0.036,5.477,,,,0.534,0.0197
muon,2965521_1,400,0.041,5.172,5.267,193.873,0.241211,0.534,0.0194
muon,2965521_1,450,0.046,5.057,,,,0.534,0.0191
muon,2965521_1,500,0.051,4.986,,,,0.534,0.0187
